case_id,case_outcome,case_title,sentiment,excerpt
Case1,cited,Alpine Hardwood (Aust) Pty Ltd v Hardys Pty Ltd (No 2) [2002] FCA 224 ; (2002) 190 ALR 121,NEUTRAL,Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practi...
Case2,cited,Black v Lipovac [1998] FCA 699 ; (1998) 217 ALR 386,NEUTRAL,The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calde...
Case3,cited,Colgate Palmolive Co v Cussons Pty Ltd (1993) 47 FCR 225,NEUTRAL,Ordinarily that discretion will be exercised so that costs follow the event and are awarded on a party and party basis. A departure from normal practi...
Case4,cited,Dais Studio Pty Ltd v Bullett Creative Pty Ltd [2008] FCA 42,NEUTRAL,The general principles governing the exercise of the discretion to award indemnity costs after rejection by an unsuccessful party of a so called Calde...
Case5,cited,Dr Martens Australia Pty Ltd v Figgins Holdings Pty Ltd (No 2) [2000] FCA 602,NEUTRAL,The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and prac...
Case6,cited,GEC Marconi Systems Pty Ltd v BHP Information Technology Pty Ltd [2003] FCA 688 ; (2003) 201 ALR 55,NEUTRAL,I accept that the making of a rolled up offer inclusive of costs and interest may detract from the weight to be given to its refusal in the exercise o...
Case7,cited,John S Hayes &amp; Associates Pty Ltd v Kimberly-Clark Australia Pty Ltd (1994) 52 FCR 201,NEUTRAL,The preceding general principles inform the exercise of the discretion. That discretion is not to be fettered by transformation of approaches and prac...
Case8,cited,Seven Network Limited v News Limited (2007) 244 ALR 374,POSITIVE,"On the question of the level of unreasonableness necessary to attract the discretion, I respectfully agree with the comment of Sackville J in Seven Ne..."
Case9,applied,Australian Broadcasting Corporation v O'Neill [2006] HCA 46,POSITIVE,"recent decision of the High Court in Australian Broadcasting Corporation v O'Neill clarifies this issue. Gleeson CJ and Crennan J (at [19]), after ref..."
Case10,followed,Hexal Australia Pty Ltd v Roche Therapeutics Inc (2005) 66 IPR 325,POSITIVE,"Hexal Australia Pty Ltd v Roche Therapeutics Inc , the likelihood of irreparable harm was regarded by Stone J as, indeed, a separate element that had ..."
Case11,cited,Castlemaine Tooheys Ltd v South Australia [1986] HCA 58 ; (1986) 161 CLR 148,NEUTRAL,"Hexal Australia Pty Ltd v Roche Therapeutics Inc , the likelihood of irreparable harm was regarded by Stone J as, indeed, a separate element that had ..."
Case12,cited,R v McFarlane; Ex parte O'Flannagan and O'Kelly [1923] HCA 39 ; (1923) 32 CLR 518,NEUTRAL,"quia timet proceedings, the court will have regard to the degree of probability of the apprehended injury, the degree of the seriousness of the injury..."
Case13,followed,National Australia Bank v KDS Construction Services Pty Ltd [1987] HCA 65 ; (1987) 163 CLR 668,NEUTRAL,"It was not suggested in this proceeding that, so far as a Commonwealth revenue debt is concerned, there is any express statutory provision which alter..."
Case14,followed,George v Cluning (1979) 53 ALJR 767 (note),NEUTRAL,"Strictly speaking, a cheque, even a bank cheque, is not a form of legal tender. Subject to some particular contractual or statutory provision, the onl..."
Case15,followed,Australian Mid-Eastern Club Limited v Yassim (1989) 1 ACSR 399,NEGATIVE,None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavou...
Case16,followed,Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830,NEGATIVE,None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavou...
Case17,followed,Deputy Commissioner of Taxation v Guy Holdings Pty Ltd [1994] TASSC 126 ; (1994) 116 FLR 314; (1994),POSITIVE,The true position is that the applicant's status as a creditor at the time when the application was made and the presumption flowing from the company'...
Case19,cited,Motor Terms Co Pty Ltd v Liberty Insurance Ltd [1967] HCA 9 ; (1967) 116 CLR 177,POSITIVE,"Assuming that the Deputy Commissioner ought presently to be regarded as an applicant whose debt has been paid, it does not, with respect, seem to me t..."
Case21,referred to,Appellant S395/2002 v Minister for Immigration and Multicultural Affairs; Appellant S396/2002 v Mini,NEGATIVE,"am satisfied that the finding of the third Tribunal that the two appellants are not, and were not, homosexuals was not made in the exercise of honest ..."
Case22,cited,Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518,NEGATIVE,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel..."
Case23,cited,Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374,NEGATIVE,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel..."
